word,clicks,impressions,cost,convertedClicks
glade,2,2,1.09,0,
olulu,1,1,1.91,0,
naacp,1,1,1.17,0,
talbot,1,3,1.57,0,
baillargeon,1,1,0.71,0,
gimbel,1,1,0.85,0,
shovonne,1,1,0.76,0,
jacka,1,1,0.13,0,
summerton,1,1,0.57,0,
gladu,1,1,1.42,0,
felder,1,1,1.77,0,
indigo,1,1,0.39,0,
parishilton,1,1,0.51,0,
valverde,1,1,0.05,0,
manske,1,1,1.54,0,
luzerne,13,19,19.759999999999998,0,
spanish,1,1,1.59,0,
panola,2,3,1.9900000000000002,0,
rascal,1,1,0.9,0,
joc,1,1,1.09,0,
uhericks,1,2,0.81,0,
haynesville,1,1,0.49,0,
winterhaven,1,1,0.32,0,
sridharacharya,1,1,0.24,0,
hubig,1,1,0.15,0,
mugherini,1,1,1.01,0,
muse,1,1,1.06,0,
assistance,3,5,4.56,0,
joy,17,27,14.32,2,
counties,2,3,1.5,0,
musa,2,2,0.85,0,
lyons,11,11,9.200000000000001,0,
space,1,2,0.88,0,
freebirthdaydates,1,1,0.36,0,
shegog,1,1,0.42,0,
joe,41,143,31.869999999999997,1,
homchick,1,3,0.62,0,
reside,2,1,3.08,0,
joi,2,2,1.7600000000000002,0,
boys,6,24,6.210000000000001,0,
sluder,1,1,0.68,0,
rather,1,1,0.8,0,
jon,8,14,5.53,0,
sigvard,1,1,1.56,0,
sujata,1,1,0.78,0,
wigley,1,1,0.69,0,
isit,1,1,1.7,0,
charleston's,1,1,0.66,0,
boyd,11,15,11.61,0,
helps,2,2,2.67,0,
housrion,1,1,0.94,0,
indies,1,1,1.26,0,
raydene,1,1,1.1,0,
1817in,1,1,0.65,0,
draegert,1,1,0.26,0,
ghan,1,1,1.09,0,
emmanuela,1,1,1.14,0,
novack,1,1,0.56,0,
jps,1,1,0.39,0,
racicot,4,6,1.65,0,
single,5,10,1.8199999999999998,0,
huber,5,5,3.51,1,
derrek,1,2,0.74,0,
leibner,1,1,1.5,0,
grozow,1,1,0.12,0,
malshuk,1,1,0.67,0,
abouth,1,1,0.8,0,
shilisha,1,1,0.11,0,
glazer,1,1,0.79,0,
spyker,1,2,0.75,0,
injective,1,0,0.61,0,
cabral,2,5,2.23,0,
spain,18,27,16.229999999999997,0,
chambersburg,3,4,2.4000000000000004,0,
hollenbeck,1,1,0.7,0,
jim,11,10,8.100000000000001,0,
gilani,1,2,0.31,0,
pardeeville,1,1,0.66,1,
abusharif,2,5,1.62,0,
bradford,2,2,1.76,0,
dinna,1,3,0.79,0,
jie,1,1,1.81,0,
grandma,1,1,2.13,0,
massillon,3,4,2.37,0,
manson,1,1,0.83,0,
