word,clicks,impressions,cost,convertedClicks
803rd,2,6,0.86,0,
plattsmouth,1,1,1.08,0,
silverstar,1,1,0.22,0,
mederainly,1,1,0.77,0,
avedesian's,1,1,0.56,0,
fold3,49,727,25.379999999999995,2,
thayendanegea,1,1,0.36,0,
zabawa,1,3,0.63,0,
lrrp,1,15,0.68,0,
luverne,1,1,1.24,0,
buildup,3,15,0.64,0,
abnor,1,1,1.03,0,
collectoers,1,1,0.34,0,
honers,1,1,0.4,0,
registration,51,96,36.75999999999999,0,
database,246,1018,226.58000000000004,4,
goodman,6,19,4.83,1,
nickolas,2,3,1.63,0,
drury,3,5,1.56,0,
goddard,1,2,0.19,0,
cowlitz,1,1,0.56,0,
teletypist,1,1,0.43,0,
mcgill,1,1,0.93,0,
parana,1,4,0.49,0,
cm3,1,1,0.89,0,
cm2,1,1,0.89,0,
hilario,1,1,0.67,0,
equipment,15,2929,10.149999999999999,0,
siepmann,2,4,1.6800000000000002,0,
cope,1,1,0.59,0,
copd,2,1,1.84,0,
admiiral,1,2,0.89,0,
obligations,1,1,0.92,0,
finschhaffen,1,1,0.49,0,
eyes,4,4,3.2199999999999998,0,
boothe,1,1,0.71,0,
cld,1,1,0.63,0,
bennett's,1,1,0.49,1,
suffecool,1,2,0.52,0,
vvtrans,1,1,1.42,0,
cle,1,2,0.59,0,
copy,36,247,26.479999999999993,2,
umbarger,1,1,2.06,0,
clr,1,1,0.82,0,
cool,1,1,0.34,0,
cook,26,35,18.34,0,
coom,1,1,0.95,0,
allison,4,4,2.33,0,
rosario,2,2,1.15,0,
gueller,1,1,1.2,0,
tubbs,1,1,0.32,0,
millis,1,2,0.72,0,
nacsb,1,1,0.51,0,
revolunitionary,1,3,0.42,1,
models,5,9,4.1,0,
arfred,1,1,0.72,0,
niehenke,1,1,0.38,0,
beldings,1,4,0.47,0,
delmare,1,1,0.88,0,
osif,1,2,0.91,0,
cmi,2,2,1.15,0,
coos,2,4,1.29,0,
waffen,2,38,1.15,0,
atwater,1,1,0.72,0,
swear,1,1,0.68,0,
blade,1,42,0.37,0,
kitner,2,2,2.2800000000000002,0,
mcalpine,1,1,0.23,0,
chodkowski,1,2,0.1,0,
graphic,8,153,4.1,0,
conn,6,10,2.85,0,
acts,1,3,0.39,0,
cmr,1,1,1.05,0,
dummerston,1,1,0.67,0,
sylacauga,1,1,0.81,0,
co1,1,2,0.53,0,
cone,2,2,3.65,0,
cml,2,2,0.54,0,
genology,1,1,1.31,0,
wyland,2,5,1.08,0,
buired,1,1,0.62,0,
lavelton,1,6,0.76,0,
clabaugh,1,1,0.45,0,
mikolay,1,1,0.13,1,
rutledge,1,2,0.24,0,
converse,1,5,0.69,0,
arizona,21,34,11.579999999999998,0,
suits,1,1,1.07,0,
kismet,1,2,0.26,0,
wappingers,1,1,1.11,0,
cons,3,4,2.37,0,
belcher,1,2,0.74,0,
deily,1,1,0.5,0,
comm,1,1,1.14,0,
nisewarner,1,1,0.16,0,
comp,3,6,1.98,0,
desantis,2,2,1.26,0,
zouave,1,3,0.56,0,
quam,1,1,0.44,0,
nowak,2,3,0.98,0,
come,3,4,2.5700000000000003,0,
drums,1,1,0.41,0,
cesario,1,2,1.11,0,
comd,3,5,1.9700000000000002,0,
comc,1,1,0.26,0,
coi,1,1,0.35,0,
harrington,2,5,2.38,0,
cok,1,1,0.56,0,
wathen's,1,1,0.43,0,
cod,2,49,0.64,0,
coe,4,5,2.37,0,
houle,2,25,0.56,0,
banister,1,1,1.11,0,
syoen,1,1,0.42,0,
coc,1,1,0.23,0,
decease,3,2,1.3399999999999999,0,
con,1,3,0.71,0,
swede,1,1,0.66,0,
col,59,113,33.82,0,
com,496,2066,351.66,6,
121st,12,17,9.23,2,
cor,1,3,0.71,0,
luckadoo,1,5,0.8,0,
depository,1,1,1.52,0,
http77,1,1,0.94,0,
cots,1,2,0.38,0,
dtgd,1,1,0.09,0,
dividing,1,2,0.12,0,
artwork,1,1,0.71,0,
cox,28,40,17.58,0,
coy,4,3,1.82,0,
dillingen,1,9,0.78,0,
easazhadz,1,1,0.26,0,
navy's,1,3,0.35,0,
iszrealie,1,1,0.85,0,
strengths,1,3,0.23,0,
tecords,2,3,2.63,0,
cpl,43,91,25.490000000000002,1,
niles,3,5,2.6,0,
dahlgren,1,1,0.31,0,
hovila,1,1,0.23,0,
cpo,4,5,2.26,0,
levine,2,2,1.94,0,
cpt,5,9,1.9900000000000002,0,
floore,1,1,0.34,0,
xxxne,1,2,0.22,0,
period,62,90993,29.86,1,
cost,12,26,7.150000000000001,0,
shields,4,4,2.38,1,
woodhull,1,1,0.27,0,
burner,1,1,0.84,0,
sweet,8,41,5.430000000000001,0,
debated,1,2,0.5,0,
boaganville,1,1,0.42,0,
decorations,7,9,4.760000000000001,1,
whisnant,1,1,0.82,0,
cote,3,2,1.8599999999999999,0,
grenade,3,6,0.9199999999999999,0,
lfs5171,1,1,0.61,0,
cqm,1,3,0.89,0,
reords,3,5,3.75,0,
rowland,6,7,3.17,0,
marlene,1,1,0.61,0,
walsh,9,12,7.2,0,
tulagi,1,2,0.42,0,
imperilism,1,1,0.33,0,
corp,107,229,72.49000000000001,3,
kangaroo,2,19,1.57,0,
traitor,2,5,0.69,0,
cory,2,2,0.57,0,
sonneffi,1,1,1.06,0,
woodwward,1,1,0.61,0,
jamrozek,1,1,1.07,0,
lamson,1,6,0.39,0,
blake,7,12,5.010000000000001,1,
chasing,1,1,0.31,0,
stasiof,1,5,0.64,0,
nathalie,1,1,0.78,0,
druid,1,3,0.01,0,
secrecy,1,1,1.1,0,
blair,7,14,4.91,1,
alvie,1,1,0.77,0,
cry,4,211,1.47,0,
buckels,1,1,0.67,0,
bartlett,2,2,0.67,0,
insuance,1,1,0.63,0,
csa,8,14,6.699999999999999,0,
109th,3,5,2.2399999999999998,1,
sailfish,1,1,0.57,0,
csm,1,1,0.98,0,
alvin,20,28,14.569999999999999,0,
archieves,2,2,2.59,0,
increase,1,1,0.67,0,
morelock,1,1,0.49,0,
core,6,10,4.6,0,
alvis,1,1,1.04,0,
csk,1,1,0.94,0,
tugboat,1,1,1.01,0,
paskiewicz,1,4,0.9,0,
abner,4,4,4.04,0,
orleck,1,1,0.36,0,
hirschy,2,5,1.22,0,
carrabba,1,1,0.81,0,
cohn,1,1,1.18,0,
divisions,36,63,22.33,0,
house,17,106,11.020000000000001,0,
247th,1,1,0.67,0,
arxhives,1,1,1.0,0,
pensylvania,3,3,2.51,0,
rosenthal,2,2,1.5299999999999998,0,
wooten,5,7,3.11,0,
kiraatfar,1,1,0.41,0,
henson,1,3,0.73,0,
w0rld,2,6,0.8400000000000001,0,
ccc,1,1,1.1,0,
trevor,1,1,0.38,0,
strategies,1,1,0.93,0,
juneau's,1,1,0.47,0,
sweetwater,1,1,0.78,1,
butchko,2,1,3.86,0,
carloinacycleservice,1,1,0.77,0,
mallard,1,2,1.03,0,
drugs,2,7,0.8,0,
generals,43,190,22.580000000000005,0,
cds,1,1,0.75,0,
dobrinski,1,2,0.24,0,
plauge,1,1,0.4,0,
rickmon,1,3,0.1,0,
uzee,1,1,0.94,0,
cdr,1,1,0.77,0,
arriba,1,1,0.83,0,
goal,2,2,0.8400000000000001,0,
feints,1,1,1.06,0,
cdv,3,18,1.2200000000000002,0,
drumright,1,6,0.23,0,
cente,1,1,0.15,0,
haworth,4,7,1.1400000000000001,0,
traveling,1,2,0.24,0,
goad,1,1,1.68,0,
cdd,1,1,0.77,0,
laconte,2,3,1.1099999999999999,0,
abney,2,2,1.61,0,
ww2giburial,2,1,1.22,0,
bonnie,3,3,2.45,0,
1948329,1,1,1.28,0,
elbert,11,23,7.07,0,
duane,9,13,7.9,0,
cem,5,4,3.7,0,
ravey,1,2,0.13,0,
ivery,1,1,0.73,0,
maricelli,1,1,0.47,0,
clarksburg,1,5,0.51,0,
ephram,1,1,1.02,0,
blank,4,7,2.55,0,
seymore,1,7,1.81,0,
return,4,4,2.27,0,
korerion,1,1,0.13,0,
ww11vetmemorial,1,2,0.98,0,
quedgeley,1,1,0.51,0,
noland,2,6,1.56,0,
cfm,1,3,0.35,0,
levitt,1,1,1.63,0,
mihiel,3,4,1.0,0,
cushing,2,3,1.18,0,
blanc,1,1,1.07,0,
bland,4,11,1.51,0,
buggey,1,1,0.72,0,
greager,1,1,0.55,0,
melhorn,1,1,0.09,0,
portsanfranciscoworldwar2,1,1,0.83,0,
cody,2,3,0.53,0,
cactus,1,1,0.54,0,
proteus,1,1,0.76,0,
ernsberger,1,1,0.27,0,
seymor,1,1,0.22,0,
colt,5,7,2.1100000000000003,0,
american's,1,2,0.15,0,
remote,1,2,0.59,0,
dwain,1,1,1.56,0,
chesley,2,2,2.5,0,
napalm,1,1,0.16,0,
together,1,126,0.59,0,
eyre,1,1,0.72,0,
cold,38,2215,18.149999999999995,0,
hilares,1,1,0.27,0,
cole,13,27,7.950000000000002,0,
hows,1,1,0.11,0,
shoots,1,1,0.3,0,
frecks,1,2,0.67,0,
willington,1,1,0.18,0,
goff,3,5,2.4899999999999998,0,
goes,1,1,0.2,0,
howe,6,9,3.75,0,
chu,4,26,1.37,0,
certified,1,1,0.75,0,
goerner,1,1,1.42,0,
winters,2,2,0.21000000000000002,0,
objectieves,1,1,0.87,0,
spieser,1,1,1.15,0,
copart,3,13,2.76,0,
cid,1,1,0.15,0,
cic,1,3,0.24,0,
cib,1,1,0.8,0,
hedger,1,1,0.16,0,
graham,11,16,8.37,0,
jenkin,1,4,0.39,0,
chp,1,1,0.08,0,
ivester,1,1,0.43,0,
avold,1,1,0.75,0,
daughtersoftheamericanrev,1,1,0.36,0,
cauuses,1,5,0.78,0,
tweten,1,1,0.33,0,
civ,1,1,0.92,0,
autorotation,1,2,0.53,0,
ciy,1,1,0.53,0,
protest,3,16,0.97,0,
coberg,1,1,0.28,0,
4128th,1,2,0.44,0,
hardwick,1,2,0.54,0,
solution,4,12,1.7599999999999998,0,
blocker,1,1,0.61,0,
tursell,1,1,0.11,0,
champaign,2,2,1.57,0,
horsts,1,1,0.71,0,
kaschak,1,1,0.43,0,
hendershot,1,1,0.12,0,
hoyt,8,9,4.7,0,
parachauted,1,1,0.62,0,
757442,1,1,0.73,0,
arrick,3,2,1.89,0,
diggers,1,2,0.33,0,
blocked,1,1,0.32,0,
bonner,4,6,2.91,0,
goodlow,1,1,0.84,0,
cameras,1,1,0.64,0,
tampke,1,2,0.23,0,
washingotn,2,3,0.86,0,
coin,3,28,1.8399999999999999,0,
adar,1,1,0.33,0,
signatures,1,2,0.44,0,
adan,1,2,0.6,0,
coaley,1,2,0.26,0,
entrepreneurship,1,1,0.32,0,
sheets,1,1,1.14,0,
quartermasters,2,6,1.71,0,
milholen,1,1,0.85,0,
adam,10,18,5.82,0,
seymour,7,11,5.64,0,
hometowns,1,1,1.68,0,
trainers,2,2,1.24,0,
duchesne,2,1,1.74,0,
ancesters,1,0,0.94,0,
stubblefield,1,1,0.52,0,
studer,1,1,0.81,0,
merchandise,2,2,1.32,0,
keown,1,2,0.26,0,
natchez,1,2,0.67,0,
aden,1,1,0.78,0,
11thru,1,1,1.18,0,
krup,1,1,0.78,0,
reglist,1,1,0.91,0,
stenay,1,1,0.32,0,
s1790tn,1,1,0.61,0,
smeaton,1,1,1.19,0,
recipient,37,59,21.390000000000004,0,
until,3,3,1.33,0,
brookline,1,1,0.85,0,
verteran,10,12,7.54,0,
mchenry,3,3,0.97,0,
indonesia,3,6,2.0700000000000003,0,
mariner's,1,3,0.87,0,
histyory,1,3,0.95,0,
meisinger,1,1,0.33,0,
solders,38,46,24.679999999999996,0,
indianhead,2,3,0.8400000000000001,0,
p1907,1,1,0.48,0,
estonia,1,5,0.75,0,
caswell,3,5,1.73,0,
winser,1,1,0.71,0,
southwick,1,1,0.37,0,
20chateau,1,1,0.4,0,
conferderate,5,4,2.39,0,
ww2by,1,2,0.36,0,
aneso,1,4,0.92,0,
usnavyenlistedmenworldwar2,1,2,0.45,0,
ear,3,2,1.9500000000000002,0,
ratio,2,2,1.6,0,
necedah,1,1,0.42,0,
ra20420194,2,1,3.46,0,
sheddy,1,4,0.68,0,
eaw,1,3,0.35,0,
eat,4,6,2.11,0,
minorities,1,2,0.52,0,
liberators,1,3,0.49,0,
przydial,1,1,0.73,0,
marlen,1,1,0.88,0,
aneta,1,1,0.74,0,
danny,3,4,2.7800000000000002,0,
mclaren,1,1,0.63,0,
anderson,55,106,30.49000000000001,1,
hartford,1,2,0.41,0,
earhart,2,2,0.48,0,
azzaretto,1,2,0.97,0,
melvin,27,38,17.82,0,
berry,13,14,11.19,0,
wolfhound,1,1,0.14,0,
4000th,1,2,0.48,0,
seton,1,2,0.08,0,
write,2,2,1.9900000000000002,0,
backpack,3,11,1.6700000000000002,0,
hugett,2,2,0.88,0,
s6991,1,3,0.45,0,
gambrell,1,1,0.78,0,
records_military,2,2,3.2800000000000002,0,
121stevacuation,2,1,1.46,0,
breininger,1,1,0.48,0,
remagen,4,27,3.0999999999999996,0,
barnable,1,2,0.96,0,
ww2ed,1,1,0.91,0,
hauber,1,1,0.77,0,
misajet,1,1,0.76,0,
civilization,1,4,0.42,0,
photosites,1,5,1.05,0,
brueggeman,1,1,0.28,0,
netting,2,2,1.08,0,
horton,10,15,5.75,0,
goswicks,1,1,0.43,0,
strickling,1,1,0.04,0,
usmilitaryrecords,2,2,3.76,0,
patriarca,1,5,1.04,0,
exum,1,1,0.1,0,
captured,15,28,8.11,1,
mancini,1,1,1.18,0,
lyzzer,1,1,1.0,0,
spotsylvania,3,20,0.44,0,
countermeasures,1,4,0.62,0,
wanek,1,1,0.64,0,
haversack,1,24,0.8,0,
ega,2,30,1.4300000000000002,0,
pyle,2,5,1.2200000000000002,0,
dante,3,3,1.38,0,
cleburne,2,4,1.05,0,
crprl,1,1,0.51,0,
adkins,4,6,2.7,0,
sanzo,1,1,0.81,0,
patriarch,1,1,0.34,0,
beaman,1,1,0.48,0,
nierlich,1,1,1.13,0,
oaktown,1,1,0.1,0,
usarmy,5,6,2.66,1,
orson,1,1,0.21,0,
makenzie,1,1,0.96,0,
migliaro,1,1,1.16,0,
militaryrecordslookup,5,37,7.83,0,
1950's,2,4,1.1,0,
mcvay,2,2,1.3,0,
gjovig,3,3,1.8,0,
zeeland,1,2,0.87,1,
armand,3,3,2.36,0,
funerals,1,1,0.43,0,
tails,1,3,0.23,0,
crowson,1,1,0.37,0,
railroad,10,16,4.05,0,
collier,6,9,4.81,0,
recipiets,1,1,0.23,0,
edd,2,4,0.06999999999999999,0,
odyssey,1,1,0.74,0,
island,93,213,53.46,1,
amelia,1,3,1.16,0,
reciepients,1,1,0.44,0,
honorlist,2,3,1.01,0,
usnavy,5,6,3.08,0,
ulric,1,1,0.12,0,
edu,4,11,3.62,0,
edo,2,2,2.1,0,
phoenix,3,6,1.9500000000000002,0,
dannhauser,1,2,0.92,0,
edgefield,2,2,1.57,0,
vlahos,1,1,0.86,0,
ecb,1,11,0.58,0,
nycha,1,1,0.19,0,
lightner,1,1,0.66,0,
heger,1,1,1.1,0,
gayle,3,3,1.4699999999999998,0,
sabados,1,1,0.85,0,
kennedy,6,11,3.92,0,
warfere,1,2,0.57,0,
daniel,90,136,58.03999999999999,3,
dye,4,4,1.8900000000000001,1,
garvesights,1,1,0.94,0,
lanahan,1,1,0.67,0,
woodliff,2,5,1.4400000000000002,0,
fenner,1,1,0.54,0,
vx5403,1,1,0.6,0,
1306engineering,1,4,0.73,0,
adna,1,1,0.29,0,
gausenell,1,2,0.84,0,
vichy,1,1,0.83,0,
cherokee,9,17,3.83,1,
eblistee,1,1,0.2,0,
thoughts,1,1,0.38,0,
iowa,107,155,51.76000000000001,2,
annapolis,1,1,0.39,0,
revaluationary,1,1,0.62,0,
ingleside,1,1,1.73,0,
fromtu,1,2,1.44,0,
sprague,3,3,1.08,0,
ricketts,1,1,0.37,0,
berma,1,1,0.64,0,
letizia,1,1,1.1,0,
kathleen,1,1,0.73,0,
mildred,1,2,0.79,0,
liquors,2,1,1.56,1,
collins,22,26,17.65,1,
cogswell,2,3,2.3899999999999997,0,
infantey,1,1,0.71,0,
tollie,1,1,0.55,0,
series,19,38,13.860000000000001,0,
hardware,1,1,0.56,0,
108th,4,6,1.9700000000000002,0,
halifax,5,8,2.98,0,
roozee,1,2,0.23,0,
across,1,2,0.46,0,
ferderbar,1,1,0.84,0,
amphibianboatsww2,1,2,0.61,0,
tomhack,1,1,0.32,0,
mathews,6,10,4.1899999999999995,0,
booton,1,1,0.47,0,
remaining,6,10,6.07,0,
wilder,1,1,0.87,0,
piolet,5,5,4.32,0,
rayford,2,2,2.34,0,
nostrum,1,2,0.89,0,
hand's,1,2,0.19,0,
cascio,2,2,1.25,0,
mementos,1,1,0.87,0,
titian,1,1,0.99,0,
kleese,1,1,1.35,0,
berks,3,4,1.4100000000000001,0,
worldwar11,2,2,1.18,0,
champagne,1,2,0.7,0,
coatney,1,1,0.71,0,
jongenskampen,1,2,0.87,0,
dvd,5,19,3.49,0,
eveson,1,1,0.64,0,
965th,1,3,0.91,0,
dollars,2,4,1.75,0,
roque,1,4,1.26,0,
hawthorne,5,5,3.68,0,
bryson,1,1,1.05,0,
outcome,10,16,3.0599999999999996,0,
dorgan,1,1,0.62,0,
397th,2,3,2.08,0,
dvm,1,2,0.66,0,
berka,1,3,0.32,0,
orvuille,1,2,0.39,0,
recotds,2,2,4.31,0,
deming,2,2,2.09,1,
pennsylivian,1,1,0.97,0,
gravesite,1,1,0.53,0,
kansas,55,123,34.75999999999999,1,
daughaday,1,1,1.38,0,
bankston,1,3,0.86,0,
markus,1,1,0.9,0,
selective,3,3,0.45,0,
burciaga,1,1,0.75,0,
terror,2,10,0.79,0,
123rd,3,4,0.47,0,
otis,9,16,6.37,0,
fridley,1,1,1.78,0,
fever,1,1,0.57,0,
bayonne,1,1,0.34,0,
lsts,1,1,0.64,0,
flesher,1,1,0.23,0,
1francesca,1,2,0.73,0,
therevolutionary,1,1,0.33,0,
schwanke,1,1,0.64,0,
norwell,1,2,0.72,0,
ration,2,2,1.35,0,
verterns,4,3,2.93,0,
vetean,1,1,0.6,0,
recuitment,1,1,0.46,0,
cibil,1,1,0.39,0,
laritz,1,1,1.11,0,
policarpio,1,1,0.36,0,
littlejohn,2,2,1.79,0,
saddler,1,1,0.63,0,
ratios,1,2,0.87,0,
chattahoochee,1,1,0.61,0,
recoreds,2,2,2.01,0,
mfrom,1,1,1.15,0,
danial,2,2,1.0,0,
savanna,1,1,0.46,0,
rosterf,1,2,0.59,0,
gossard,1,1,0.65,0,
luena,1,1,0.57,0,
santo,1,1,0.94,0,
rosters,94,394,64.81999999999998,1,
highway,5,7,2.2399999999999998,0,
volunteer,16,29,5.21,1,
puckett,4,6,1.23,1,
memebers,1,1,0.12,0,
olindo,1,1,0.61,0,
beauty,1,1,0.43,0,
colton,1,2,0.77,0,
fessenden,1,1,0.81,0,
schirmer,3,3,2.23,0,
zc176,1,1,0.88,0,
vietam,2,2,1.54,0,
father,82,125,61.49,6,
waiiio,1,2,0.18,0,
greenline,1,1,0.56,0,
casucci,1,3,0.36,0,
manifests,2,2,1.2100000000000002,0,
santa,6,6,3.62,0,
wilkerson,3,2,2.1,0,
illness,1,5,1.13,0,
amaericans,1,2,0.9,0,
sailors,105,310,62.579999999999984,0,
otha,1,1,0.93,0,
antiques,10,77,5.48,0,
2bflorida,1,1,0.99,0,
goins,1,1,0.76,0,
readers,1,1,0.47,0,
stalag,11,16,6.6899999999999995,0,
swalwell,1,2,0.53,0,
empedocles,1,1,0.41,0,
harroll,1,1,0.78,0,
revolutianary,1,3,0.26,0,
shaftel,1,1,1.3,0,
cheswick,1,1,1.05,0,
gallagher,2,3,0.29,0,
maurepas,1,1,0.78,0,
ossian,1,1,0.77,0,
????????????,1,1,0.48,0,
northhighviking,1,1,0.47,0,
tafelski,2,1,0.58,0,
hotel,1,1,0.45,0,
rating,3,5,0.78,0,
breaking,1,1,0.64,0,
insell,3,6,1.75,0,
dispatches,3,28,0.72,0,
don,27,40,15.809999999999999,1,
dom,1,1,0.82,0,
ww2aircraft,1,5,0.7,0,
frankum,1,3,1.35,0,
lomnardo,1,1,0.39,0,
duvall,1,1,0.34,0,
dow,4,4,3.2199999999999998,0,
causualties,2,2,1.4300000000000002,0,
dot,1,1,0.67,0,
strange,4,3046,3.54,0,
marianas,3,4,1.7999999999999998,0,
winsett,1,1,0.46,0,
berel,1,1,1.35,0,
assistant,1,1,0.55,0,
stallman,1,1,0.51,0,
biak,5,29,1.9999999999999998,0,
hoey,1,1,0.27,0,
wenzel,1,1,0.89,0,
hritz,1,1,1.18,0,
beret,2,4,0.78,0,
694th,1,1,0.56,0,
going,3,4,2.49,0,
178255,1,9,0.77,0,
hoda,1,1,0.89,0,
macintyre,1,1,0.08,0,
cellucci,3,5,1.4200000000000002,0,
iwhat,1,1,0.37,0,
zeron,1,1,1.02,0,
casualtys,1,1,0.35,0,
windg�r�blajblonchlom,2,1,0.42,0,
lillian,1,1,0.34,0,
winsmore,1,2,0.21,0,
survival,3,2647,1.98,0,
bateman,3,7,1.3499999999999999,0,
renner,1,1,0.67,0,
mitton,1,2,0.77,0,
cordray,1,1,0.33,0,
frazier,5,6,2.08,0,
satans,1,1,0.43,0,
dishonorably,2,2,1.3900000000000001,0,
hock,3,3,2.14,0,
sentence,1,1,0.4,0,
bice,3,6,1.77,0,
akron,4,4,1.56,0,
collection,5,7,2.77,0,
hoch,1,2,0.54,0,
spring,3,252,2.4299999999999997,0,
seabees,159,1626,104.69999999999997,1,
miraglia,1,1,0.61,0,
ashwell,2,2,1.48,0,
printable,3,4,2.25,0,
charleston,7,8,2.91,0,
dmz,1,2,1.29,0,
mmannuuffacturers,1,1,0.8,0,
rettig,1,4,0.44,0,
4348286,1,1,0.98,0,
dnb,2,2,1.12,0,
bunnell,1,1,0.63,0,
payment,1,4,0.96,0,
bibb,1,1,0.79,0,
rickles,1,1,0.5,0,
nutt,2,2,1.1,0,
nuts,1,1,0.73,0,
cordes,1,1,0.63,0,
domaszewski,1,1,0.48,0,
ludlam,1,1,0.67,0,
wallace,20,25,13.29,0,
infantries,1,1,1.05,0,
selection,1,1,1.18,0,
klinkhamer,2,1,1.68,0,
hinckley,1,3,1.23,0,
relationship,2,3,1.0,0,
saucido,1,1,0.74,0,
boehk,1,1,0.81,0,
yamaha,1,2,0.22,0,
pattern,1,2,0.56,0,
wegner,1,2,0.12,0,
jacobie,1,1,0.53,0,
dob,6,7,4.38,0,
doc,3,3,1.7799999999999998,0,
ericson,1,4,1.04,0,
dod,7,36,6.72,0,
stienberg,1,1,0.46,0,
dog,74,204,50.140000000000015,3,
doh,2,2,1.0,0,
invited,1,1,0.38,0,
doi,1,1,0.15,0,
witte,1,1,0.62,0,
johnkapposarmyrecords,1,2,0.91,0,
kenneth,95,132,65.03999999999996,3,
provide,1,1,0.66,0,
krampis,1,1,0.89,1,
ferrying,1,1,0.4,0,
lsmr,2,1,1.84,0,
framingham,1,4,0.43,0,
watral,1,1,1.93,0,
plantation,3,5,0.75,0,
thornsberry,1,1,0.55,0,
gaoiran,1,1,0.79,0,
buhrman,1,1,0.32,0,
introductions,1,2,0.66,0,
atkins,2,3,1.74,0,
whittaker,2,2,1.2999999999999998,0,
josephus,1,1,0.22,1,
nightingale,1,1,0.63,0,
f6f,1,1,1.68,0,
expand,2,4,0.91,0,
rennie,1,3,0.24,0,
politakes,1,1,0.8,0,
doshier,1,1,1.01,0,
petrus,1,1,1.83,0,
exchanges,4,8,2.05,0,
collecting,1,1,0.86,0,
oualline,2,2,1.02,0,
f86,1,1,0.48,0,
nurs,1,1,1.43,0,
hackett,3,7,2.9800000000000004,0,
revolutionaary,1,1,0.31,0,
tucke,1,2,0.58,0,
dyart,1,1,0.44,0,
taranto,1,2,0.44,0,
comparative,1,1,0.37,0,
survived,4,8,3.34,0,
due,2,2,1.69,0,
dug,2,1223,0.6599999999999999,0,
exchangem,1,2,0.68,0,
bayonet,30,984,15.269999999999998,0,
plattsburgh,5,16,1.8599999999999999,0,
mandemaker,1,4,0.76,0,
coldstream,1,1,1.25,0,
forgein,1,1,0.51,0,
farrington,3,6,1.98,0,
surviver,1,2,0.89,0,
pictorials,1,1,0.32,0,
destroy,2,3,1.45,0,
19065948,1,2,0.07,0,
whittington,1,2,0.22,0,
freddy,2,2,1.79,0,
f4f,1,1,0.5,0,
harrisburg,1,2,0.19,0,
furjanic,1,1,0.85,0,
wausau,2,4,1.13,0,
6.25,1,2,0.27,0,
satate,1,6,0.69,0,
cridlebaugh,1,1,1.11,0,
klauschie,2,1,1.56,0,
dilger,1,1,0.53,0,
macduff,1,1,0.83,0,
therter,1,1,0.57,0,
zylius,1,1,0.46,0,
gwynne,1,1,1.16,0,
dt2,2,9,0.6,0,
causalty,1,1,0.84,0,
studaker,1,1,0.84,0,
f4u,2,4,1.31,0,
delbrocco,1,1,1.06,0,
revalution,2,2,0.86,0,
kennett,1,5,0.79,0,
resting,2,5,0.9299999999999999,0,
haldeman's,1,1,1.04,0,
wildig,1,2,0.96,0,
wetherill,1,1,0.88,0,
adolfo,29,159,23.85,0,
ouija,1,1,0.6,0,
dilts,3,4,1.5,0,
certain,1,1,0.86,0,
serial,99,199,77.11000000000001,2,
dsc,1,1,1.03,0,
documentries,1,1,0.72,0,
pcadv,1,1,0.79,0,
military_records,4,16,5.25,0,
rauch,1,1,0.55,0,
pytel,1,2,1.1,0,
rescue,4,7,2.46,0,
militias,1,1,0.13,0,
ruptured,2,5,2.19,0,
attigum,1,1,0.23,0,
alpine,1,1,0.62,0,
lyon's,1,5,0.36,0,
fitzgerald,5,8,3.4699999999999998,0,
ethel,1,1,0.29,0,
westernport,1,4,0.45,0,
emmerling,1,5,0.03,0,
larue,1,1,0.36,0,
operationsgraha,1,1,0.61,0,
sourcebook,1,1,0.98,0,
commanding,1,1,0.66,0,
presidio,1,1,0.08,0,
mcdonough,1,1,0.54,0,
did,637,1584,332.8900000000003,2,
dadwzs,1,1,0.48,0,
andersen,2,4,1.64,0,
chaput,1,1,0.9,0,
biancardi,1,1,1.63,0,
obtain,15,18,18.03,0,
soljer,1,2,0.7,0,
uncensored,1,2,0.21,0,
mycek,1,1,0.62,0,
canadian,84,151,58.849999999999994,2,
adrian,5,17,2.06,0,
divided,4,6,2.3,0,
jjohon,1,1,1.03,0,
infantry116,1,2,0.53,0,
de422,1,1,0.29,0,
us29infdivww2,2,1,1.7,0,
cross,66,243,35.379999999999995,1,
der,1,1,0.77,0,
des,1,2,0.32,0,
kjems,4,4,4.13,0,
canadien,1,1,1.35,0,
det,4,8,2.2800000000000002,0,
duryea,1,2,0.39,0,
dew,1,1,0.82,0,
webrangers,1,3,0.35,0,
mister,1,1,0.79,0,
otto,24,30,18.759999999999998,0,
private,68,115,38.09000000000001,0,
searchlight,1,1,0.32,0,
dec,14,17,9.23,1,
dee,1,1,0.41,0,
colonnel,1,3,0.7,0,
larry,17,21,12.530000000000001,1,
iglesias,1,1,0.74,0,
del,3,4,1.6600000000000001,0,
ollice,1,1,0.7,0,
den,3,8,2.9200000000000004,0,
dem,1,1,0.66,0,
dep,1,1,1.0,0,
reolutionary,2,2,0.77,0,
trigger,1,1,0.45,0,
failures,1,1,1.03,0,
dominick,3,3,1.8599999999999999,0,
mitter,1,12,0.57,0,
lionel,2,2,1.94,1,
christmas,7,12,5.35,0,
summarizes,1,1,0.47,0,
bizerte,1,2,0.82,0,
phyllis,1,2,0.14,0,
obtaining,5,7,6.5,0,
dfc,2,2,0.38,0,
unsmc,1,1,0.83,0,
southard,1,1,0.48,0,
plates,4,4,2.42,0,
veitnam,11,25,6.0,0,
reenactor,1,1,0.68,0,
otte,1,1,0.41,0,
