word,clicks,impressions,cost,convertedClicks
anyone,13,16,7.539999999999999,0,
beatty,1,3,0.42,0,
409th,4,7,2.68,0,
ashbrook,2,2,0.26,0,
theusa,1,1,0.29,0,
107th,4,4,1.3800000000000001,0,
sildier,1,1,0.15,0,
veigh,1,1,0.86,0,
suspicious,1,1,0.36,0,
medallions,1,1,0.97,0,
479th,1,1,1.12,0,
consolidated,1,1,0.32,0,
hasty,2,2,0.77,0,
powfrommississippiinworldwar2,1,1,0.57,0,
vann,3,6,1.27,0,
139th,2,3,1.08,0,
jacks,4,2,1.6,0,
lst1011,1,1,0.57,0,
22.1912,1,1,0.52,0,
vant,1,3,0.39,0,
glade,1,1,0.65,0,
talbot,4,5,1.88,0,
gallipolihtm,1,1,0.98,0,
soidier,2,3,1.1,0,
revolutionay,1,1,0.27,0,
decanters,1,1,0.7,0,
20women,1,1,0.71,0,
wwiipension,2,1,1.16,0,
idzior,1,1,0.13,0,
felder,2,4,1.38,0,
spanish,37,2020,26.009999999999994,0,
brimfield,1,4,0.84,0,
exploits,1,2,0.62,0,
wilbur,19,20,12.640000000000002,1,
job,4,8,2.4400000000000004,0,
hamburger,1,8,0.79,0,
interpreter,1,1,0.72,0,
suggs,2,3,1.31,0,
jnn,1,1,0.48,0,
uniforms,59,4985,39.799999999999976,0,
upperville,1,1,0.24,0,
technician,3,3,3.15,0,
assistance,1,1,0.98,0,
muse,5,5,2.57,0,
joy,1,1,0.4,0,
counties,1,2,0.24,0,
thought,2,1,0.86,0,
lyons,5,7,1.95,0,
space,1,1,0.47,0,
houseworth,1,1,0.42,0,
dannenhauser,1,2,0.46,0,
vetreran,1,2,1.1,0,
epitaph,1,1,0.83,0,
joe,76,109,57.00000000000001,1,
ww1oldiers,1,1,0.34,0,
boys,11,13,5.95,0,
sluder,1,1,0.73,0,
jon,1,1,0.52,0,
construction,6,7,3.5700000000000003,0,
hinojosa,1,1,0.27,0,
stephan,3,4,1.65,0,
bishopville,1,1,0.42,0,
niilo,1,3,0.74,0,
esky,1,1,0.77,0,
ringnell,1,1,0.56,0,
revolutional,4,5,1.6500000000000001,0,
helps,1,1,0.81,0,
boyd,15,20,8.69,1,
takacs,1,1,0.51,0,
128th,4,6,2.91,0,
sirio,1,1,0.71,0,
lpane,1,1,0.77,0,
jpg,3,2,1.37,0,
takach,1,1,0.86,0,
lakota,1,1,0.95,0,
fussell,1,2,0.36,0,
europen,1,1,0.87,0,
piolets,2,2,0.98,0,
warning,1,2,0.47,0,
two+,1,1,0.23,0,
223rd,1,1,0.07,0,
revuolutionary,1,1,0.36,0,
single,1,1,0.52,0,
huber,2,2,0.66,0,
squadron,63,109,39.97000000000001,0,
dsokids,1,1,0.36,0,
spain,3,6,1.7699999999999998,0,
hollenbeck,1,1,0.91,1,
jim,34,55,19.89,0,
potters,1,2,1.1,0,
kolakowski,1,3,1.0,0,
mule,3,6,2.09,0,
arceneaux,1,5,0.56,0,
dependants,1,1,0.92,0,
homeguard,1,1,0.82,0,
bradford,4,4,2.4299999999999997,0,
kight,1,2,0.46,0,
jig,1,1,0.81,0,
whitmire,2,6,2.82,0,
pray,1,1,0.95,0,
mull,1,3,0.27,0,
ullman,3,4,1.78,0,
tyrrell,1,1,1.96,0,
scagnelli,1,1,0.31,0,
massillon,2,8,1.15,0,
sixteenth,1,1,0.35,0,
355th,3,50,1.4200000000000002,0,
plaines,1,2,0.32,0,
809th,1,1,0.64,0,
contract,1,1,0.15,0,
cripeled,2,2,1.49,0,
ercel,1,1,0.87,0,
jacob,53,97,31.409999999999997,0,
goshen,1,1,0.93,0,
bahnsen,1,1,0.5,0,
platoon420,1,1,0.06,0,
margratum,1,1,0.76,0,
693550,1,1,0.23,0,
worlldwar,1,1,0.99,0,
perssonnel,1,1,1.11,0,
149thcombat,1,1,0.73,0,
cloquet,1,2,0.51,0,
aiman,2,1,0.26,0,
watson,19,34,10.98,0,
grandpa,6,7,3.59,1,
394th,1,1,0.3,0,
deployed,3,4,2.12,0,
prisones,1,1,0.95,0,
owenson,1,1,0.14,0,
prisoner,107,263,58.54999999999999,2,
while,3,3,2.1799999999999997,0,
gambsheim,1,1,0.88,0,
bushwackers,1,2,0.74,0,
ferryman,1,1,0.99,0,
antillies,1,1,0.34,0,
banfield,1,1,0.84,0,
hathcock,2,3,2.25,0,
kronstadt,1,1,0.6,0,
munsell,1,2,0.88,0,
grinnell,1,1,0.87,0,
drum,1,2,0.37,0,
stephen,28,48,15.92,1,
purdy,1,1,0.98,0,
gedalia,1,3,0.81,0,
wendland,1,1,0.6,0,
danang,7,26,3.35,0,
mcgrogan,1,1,0.96,0,
drug,1,2,0.78,0,
munn,2,2,0.76,0,
indiam,1,2,0.76,0,
indian,24,37,10.75,0,
instrument,2,2,0.67,0,
hanger,1,5,0.6,0,
johann,1,1,0.77,0,
fought,289,1020,144.21,5,
3fgl,1,1,0.99,0,
scientific,1,1,0.29,0,
advance,2,2,1.28,1,
schaumann,1,1,1.09,0,
spaid,1,1,0.79,0,
sugar,2,2,1.0,0,
wilcox,4,8,4.12,0,
ito,1,1,0.13,0,
elliott,9,9,5.449999999999999,0,
spuhler,1,1,0.34,1,
gosnell,1,3,0.53,0,
its,7,14,3.34,0,
teachers,2,2,0.78,0,
dilella,2,1,0.9,0,
wwiiveterans,3,3,3.0,0,
loveless's,1,1,0.94,0,
medallion,1,3,0.33,0,
jonesboro,2,4,0.5700000000000001,0,
36129065,2,5,0.47000000000000003,0,
potter,7,8,4.79,0,
vaux,1,1,0.63,0,
witham,1,1,0.92,0,
jorge,2,3,1.7,0,
helfrich,1,1,0.1,0,
seaplanes,3,10,1.94,0,
prey,1,3,0.43,0,
sylvia,3,3,2.0700000000000003,0,
ist,7,7,6.059999999999999,0,
pres,1,1,0.28,0,
warren,56,75,37.46,0,
sylvio,1,1,0.3,0,
itd,3,21,1.46,0,
pusan,2,3,0.48,0,
advocate,1,1,0.59,0,
barkdull,1,1,0.76,0,
abolish,1,1,0.38,0,
brauer,1,2,0.44,0,
sylvester,22,26,14.93,0,
evander,1,1,0.81,0,
press,4,9,3.65,0,
emmet,1,3,0.31,0,
466&o,1,1,0.32,0,
ivy,1,1,0.33,0,
iron,11,23,6.29,0,
graduation,2,2,1.29,1,
ascenzo,1,1,0.52,0,
iwa,1,1,0.54,0,
gaasedelen,1,2,0.87,0,
354th,1,1,1.19,0,
supermvinturlottery,1,1,0.95,0,
yarberry,1,1,1.03,0,
sewell,2,2,0.99,0,
brovick,2,1,2.5,0,
sturtevant,1,1,0.83,0,
armorer,1,1,0.57,0,
reuter,1,1,0.95,0,
prindle,1,1,1.24,0,
switzer,1,1,0.64,0,
hallczuk,1,1,1.19,0,
walpole,1,2,0.1,0,
wrens,2,2,1.19,0,
rates,5,9,4.59,0,
armored,104,202,61.13999999999999,2,
hodson,1,1,0.08,0,
braugh,1,1,0.5,0,
iva,3,6,1.44,0,
highet's,1,1,0.71,0,
michigan,117,286,71.55999999999999,0,
orphans,3,8,2.05,0,
assignment,2,10,1.18,0,
surgeons,7,17,3.3099999999999996,0,
withee,1,3,0.6,0,
pruitt's,1,1,0.38,0,
drinkwater,3,5,1.77,0,
emergency,2,6,1.44,0,
withem,1,1,0.82,0,
mckithan,2,3,0.32,0,
heinrichs,1,1,1.0,0,
memorialwash,1,1,0.08,0,
must,1,25,0.88,0,
grasshopper,1,2,0.96,0,
slaton,1,2,0.22,0,
glahn,1,1,0.58,0,
shoemaker,1,1,0.9,0,
friends,1,1,0.83,0,
spars,2,2,1.1400000000000001,0,
buffkin,1,1,0.67,0,
middlemiss,1,1,1.13,0,
muth,1,2,0.24,0,
sarhaent,2,1,0.66,0,
rescued,2,2,0.8,0,
jaskierski,1,1,0.09,0,
withey,1,1,0.97,0,
marshal,1,1,0.32,0,
cherished,1,1,0.72,0,
skurkis,1,1,0.26,0,
compton,4,3,3.04,0,
nichols,9,10,4.800000000000001,0,
ios,1,1,0.83,0,
meagher,1,3,0.71,0,
ioi,1,1,0.79,0,
spark,1,1,0.49,0,
catherine,4,4,1.6600000000000001,0,
pensacola,11,17,6.36,0,
lightning,5,4,2.42,0,
bannister,1,2,0.4,0,
railway,4,6,2.4,1,
latson,1,2,0.6,0,
shovel,1,5,0.86,0,
742nd,1,1,1.42,0,
stereo,2,3,0.22,0,
detrow,1,1,0.36,0,
shover,1,4,0.46,0,
oldest,17,36,11.68,0,
alabamaian,1,2,0.77,0,
walking,1,1,0.53,0,
22496,1,1,0.53,0,
heiskell,1,1,0.44,0,
lakes,2,3,1.02,0,
serach,1,1,2.35,0,
repository,2,5,2.05,0,
cenitariries,1,1,0.46,0,
greenberg,1,1,0.4,0,
beneath,1,4,0.49,0,
zitta,2,1,0.66,0,
advantages,8,11,3.47,0,
conway,2,2,0.9199999999999999,0,
ferrous,2,1,1.22,0,
walnut,1,2,0.79,0,
helped,2,1,0.5,0,
stephenson,2,2,0.99,0,
rascon,1,1,0.77,0,
kenworthy,1,1,0.55,0,
the13th,1,1,0.54,0,
liptak,1,2,0.73,0,
wfisbwk,1,1,0.5,0,
ira,17,32,9.25,0,
whitmill,1,1,0.61,0,
kastanis,1,2,0.28,0,
domenic,2,3,1.41,0,
giant,3,2,0.7200000000000001,0,
batallions,1,1,0.69,0,
bates,7,6,4.42,1,
everything,1,0,0.67,0,
camden,1,2,0.34,0,
zero,2,8,0.8200000000000001,0,
kahlman,1,4,0.98,0,
stanford,4,5,1.75,0,
draw,3,3,2.0,0,
ander,1,1,0.8,0,
diisaster,1,4,0.79,0,
brault,1,2,0.94,0,
causarano,1,4,0.43,0,
geissler,1,1,0.89,0,
kinman,1,1,0.62,0,
thematic,1,1,0.43,0,
topadusexy,1,1,0.45,0,
cical,1,1,0.53,0,
working,2,2,0.96,0,
bojanac,1,1,0.36,0,
ww2programs,1,1,0.5,0,
stalin,3,8,1.22,0,
rufkahr,1,3,1.32,0,
