word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
gettysburg,100,1406,41.81,1,$41.81 ,,countries,43,104,21.9,0
1939,85,110481,41.76,1,$41.76 ,,sea,39,57,21.9,0
survivors,64,192,41.57,1,$41.57 ,,young,34,45,21.85,0
pilot,344,679,249.24,6,$41.54 ,,dc,45,107,21.84,0
b,336,502,206.75,5,$41.35 ,,hero,37,48,21.71,0
during,1173,3046,657.42,16,$41.09 ,,ranks,29,68,21.63,0
jack,118,149,82.1,2,$41.05 ,,1917,43,239,21.63,0
on,533,855,327.78,8,$40.97 ,,battery,39,54,21.45,0
militaria,85,122822,40.78,1,$40.78 ,,parade,36,277,21.43,0
to,1018,2071,813,20,$40.65 ,,walker,41,50,21.39,0
ny,185,315,121.26,3,$40.42 ,,recipient,37,59,21.39,0
theater,62,172,40.27,1,$40.27 ,,rev,95,123,21.35,0
collectibles,84,122977,40.07,1,$40.07 ,,floyd,41,57,21.26,0
elmer,57,73,40.03,1,$40.03 ,,me,33,161,21.19,0
confederate,907,9908,477.42,12,$39.78 ,,1953,59,320,21.07,0
alive,157,791,119.33,3,$39.78 ,,hugh,31,69,21.02,0
ii,4792,161695,3163.43,80,$39.54 ,,ellis,33,45,20.84,0
1943,55,80,39.54,1,$39.54 ,,italian,36,419,20.79,0
camps,74,181,39.51,1,$39.51 ,,2014,29,551,20.56,0
soldiers,2501,10477,1457.82,37,$39.40 ,,cards,23,5990,20.54,0
recipients,2026,19496,859.42,22,$39.06 ,,fl,28,41,20.53,0
franklin,72,184,38.98,1,$38.98 ,,1865,39,77,20.53,0
service,1289,4334,1245.31,32,$38.92 ,,1865,39,77,20.53,0
grandfather,55,88,38.9,1,$38.90 ,,today,26,71,20.51,0
ohio,306,853,155.33,4,$38.83 ,,dr,30,48,20.51,0
arkansas,74,135,38.76,1,$38.76 ,,king,34,41,20.42,0
serial,99,199,77.11,2,$38.56 ,,kelly,25,33,20.42,0
county,403,579,228.52,6,$38.09 ,,36th,32,82,20.38,0
t,124,177,76.16,2,$38.08 ,,roger,35,51,20.27,0
philippines,57,204,38.03,1,$38.03 ,,bombers,34,396,20.27,0
free,1824,6998,1890.98,50,$37.82 ,,millitary,17,20,20.22,0
guard,100,180,75.55,2,$37.77 ,,willis,27,35,20.15,0
death,243,3626,187.58,5,$37.52 ,,form,21,54,20.07,0
states,512,48231,374.03,10,$37.40 ,,nogueras,25,146,20.05,0
timeline,217,3848,111.86,3,$37.29 ,,role,35,57,20,0
pow,197,436,111.71,3,$37.24 ,,jim,34,55,19.89,0
find,1164,2228,1003.59,27,$37.17 ,,hall,28,47,19.79,0
signal,61,151,36.99,1,$36.99 ,,usnr,28,35,19.79,0
united,488,49871,366.42,10,$36.64 ,,90th,29,61,19.72,0
massachusetts,67,108,36.57,1,$36.57 ,,thompson,32,55,19.54,0
h,228,353,146.17,4,$36.54 ,,clayton,24,31,19.52,0
group,60,318,36.51,1,$36.51 ,,east,29,645,19.51,0
il,54,73,36.42,1,$36.42 ,,guinea,40,185,19.48,0
frederick,60,88,36.38,1,$36.38 ,,baker,29,50,19.46,0
illinois,134,313,72.72,2,$36.36 ,,militaryrecords,13,15,19.45,0
carolina,158,347,72.59,2,$36.30 ,,b17,30,40,19.37,0
enlisted,100,174,72.58,2,$36.29 ,,7,32,78,19.34,0
roster,443,1203,289.76,8,$36.22 ,,reserve,24,62,19.3,0
1944,117,452,72.43,2,$36.21 ,,total,35,995,19.1,0
arthur,112,153,72.37,2,$36.19 ,,post,30,3022,19.08,0
white,57,80,35.82,1,$35.82 ,,fire,19,28,19.02,0
islands,51,99,35.78,1,$35.78 ,,boats,35,167,19.01,0
earl,95,122,71.44,2,$35.72 ,,morgan,26,34,18.95,0
air,656,2144,464.34,13,$35.72 ,,class,29,45,18.95,0
buried,118,170,71.39,2,$35.70 ,,nelson,31,38,18.93,0
star,2060,20095,819.88,23,$35.65 ,,clinton,29,32,18.9,0
hospital,61,141,35.43,1,$35.43 ,,austin,27,36,18.89,0
cross,66,243,35.38,1,$35.38 ,,down,35,40,18.89,0
harry,105,156,70.43,2,$35.22 ,,over,30,47,18.88,0
m,202,309,140.83,4,$35.21 ,,30th,29,62,18.84,0
usa,92,145,70.33,2,$35.17 ,,may,29,34,18.83,0
someone,58,67,35.02,1,$35.02 ,,nurses,31,107,18.82,0
any,65,93,34.92,1,$34.92 ,,russian,26,102,18.77,0
kansas,55,123,34.76,1,$34.76 ,,otto,24,30,18.76,0
william,830,1218,521.25,15,$34.75 ,,june,33,49,18.67,0
glider,50,156,34.6,1,$34.60 ,,cap,25,257,18.66,0
germany,351,33413,205.78,6,$34.30 ,,pt,35,169,18.59,0
wwi,660,4314,411.03,12,$34.25 ,,metals,24,41,18.55,0
milatary,25,37,34.07,1,$34.07 ,,roberts,27,50,18.51,0
henry,260,358,170.35,5,$34.07 ,,surviving,24,76,18.48,0
