word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
,,,,,,,columbia,5,8,3.03,0
,,,,,,,brazil,3,4,3.03,0
,,,,,,,downs,5,5,3.03,0
,,,,,,,pea,6,11,3.03,0
,,,,,,,seaforth,3,3,3.03,0
,,,,,,,militsry,2,2,3.03,0
,,,,,,,100th,6,14,3.03,0
,,,,,,,oversea,3,5,3.03,0
,,,,,,,fitzpatrick,4,6,3.03,0
,,,,,,,surviors,4,5,3.03,0
,,,,,,,1975,6,20,3.03,0
,,,,,,,iv,6,6,3.02,0
,,,,,,,sq,5,10,3.02,0
,,,,,,,33rd,8,15,3.02,0
,,,,,,,sierra,7,80,3.02,0
,,,,,,,clifton,6,12,3.02,0
,,,,,,,finn,4,6,3.02,0
,,,,,,,historynet,5,19,3.02,0
,,,,,,,overton,4,5,3.01,0
,,,,,,,jw,4,8,3.01,0
,,,,,,,able,6,5,3.01,0
,,,,,,,summer,4,249,3.01,0
,,,,,,,shutt,5,5,3.01,0
,,,,,,,outfit,5,5,3.01,0
,,,,,,,kays,2,4,3.01,0
,,,,,,,96th,7,15,3.01,0
,,,,,,,churchill,5,8,3.01,0
,,,,,,,leipzig,4,8,3.01,0
,,,,,,,vetrrans,4,4,3.01,0
,,,,,,,wwiiveterans,3,3,3,0
,,,,,,,wj,3,2,3,0
,,,,,,,grade,5,4,3,0
,,,,,,,ned,4,5,3,0
,,,,,,,filipino,7,6,3,0
,,,,,,,matt,3,5,3,0
,,,,,,,vasquez,6,6,3,0
,,,,,,,b52,4,5,3,0
,,,,,,,correspondent,4,4,3,0
,,,,,,,mckee,5,11,3,0
,,,,,,,boxer,9,10,3,0
,,,,,,,landers,4,7,2.99,0
,,,,,,,orin,2,3,2.99,0
,,,,,,,ri,5,7,2.99,0
,,,,,,,education,5,8,2.99,0
,,,,,,,reich,4,219,2.99,0
,,,,,,,brief,5,29,2.99,0
,,,,,,,haynes,7,10,2.99,0
,,,,,,,america's,5,101,2.99,0
,,,,,,,wilburn,4,4,2.99,0
,,,,,,,cicero,4,4,2.99,0
,,,,,,,carbine,5,31,2.98,0
,,,,,,,unclaimed,6,5,2.98,0
,,,,,,,delores,3,4,2.98,0
,,,,,,,yonkers,3,4,2.98,0
,,,,,,,halifax,5,8,2.98,0
,,,,,,,hackett,3,7,2.98,0
,,,,,,,noble,7,10,2.98,0
,,,,,,,vehicles,3,5,2.98,0
,,,,,,,hilton,5,7,2.98,0
,,,,,,,interprter,2,2,2.98,0
,,,,,,,dempsey,4,7,2.98,0
,,,,,,,flanagan,4,14,2.98,0
,,,,,,,beyer,3,9,2.97,0
,,,,,,,goodrich,5,10,2.97,0
,,,,,,,batt,7,8,2.97,0
,,,,,,,tho,4,17,2.97,0
,,,,,,,what's,4,10,2.97,0
,,,,,,,1980,5,2984,2.97,0
,,,,,,,ser,3,3,2.96,0
,,,,,,,lieut,3,3,2.96,0
,,,,,,,interesting,11,59,2.96,0
,,,,,,,gassed,4,3,2.96,0
,,,,,,,learn,6,11,2.96,0
,,,,,,,figures,6,74,2.96,0
,,,,,,,account,6,101,2.96,0
,,,,,,,these,3,5,2.95,0
,,,,,,,tellechea,2,7,2.95,0
,,,,,,,world's,4,247,2.95,0
,,,,,,,native,5,5,2.95,0
,,,,,,,cv,5,5,2.94,0
,,,,,,,benavides,2,1,2.94,0
,,,,,,,buford,4,5,2.94,0
,,,,,,,armor,4,8,2.94,0
,,,,,,,fischer,5,10,2.94,0
,,,,,,,devons,2,2,2.94,0
,,,,,,,chambers,6,12,2.94,0
,,,,,,,relative's,3,6,2.94,0
,,,,,,,verterns,4,3,2.93,0
,,,,,,,moreland,3,30,2.93,0
,,,,,,,virgin,5,8,2.93,0
,,,,,,,silva,4,5,2.93,0
,,,,,,,codes,5,6,2.93,0
,,,,,,,veteraans,3,3,2.93,0
,,,,,,,cain,5,11,2.93,0
,,,,,,,328th,5,4,2.93,0
,,,,,,,things,8,25,2.92,0
,,,,,,,siberia,4,5,2.92,0
,,,,,,,brother's,2,1,2.92,0
,,,,,,,den,3,8,2.92,0
,,,,,,,hickey,3,4,2.92,0
,,,,,,,nat,3,2,2.92,0
,,,,,,,lowell,4,4,2.92,0
,,,,,,,palm,4,12,2.92,0
,,,,,,,size,5,10,2.92,0
,,,,,,,file,5,8,2.92,0
,,,,,,,tea,5,18,2.92,0
,,,,,,,mock,3,7,2.92,0
,,,,,,,sapp,4,4,2.92,0
,,,,,,,128th,4,6,2.91,0
,,,,,,,glass,3,4,2.91,0
,,,,,,,wirld,5,6,2.91,0
,,,,,,,bonner,4,6,2.91,0
,,,,,,,charleston,7,8,2.91,0
,,,,,,,plus,3,4,2.91,0
,,,,,,,145,4,7,2.91,0
,,,,,,,landed,6,4,2.91,0
,,,,,,,style,3,4,2.91,0
,,,,,,,classes,3,5,2.91,0
,,,,,,,chase,4,5,2.91,0
,,,,,,,tuskegee,6,35,2.91,0
,,,,,,,boot,4,3,2.9,0
,,,,,,,recipiants,4,4,2.9,0
,,,,,,,sinclair,3,5,2.9,0
,,,,,,,drake,5,4,2.9,0
,,,,,,,mac,6,12,2.9,0
,,,,,,,casper,4,5,2.9,0
,,,,,,,pants,4,2,2.9,0
,,,,,,,economy,7,11,2.89,0
,,,,,,,ja,5,5,2.89,0
,,,,,,,sonny,5,9,2.89,0
,,,,,,,daily,7,13,2.89,0
,,,,,,,stanton,5,6,2.89,0
,,,,,,,litton,3,4,2.89,0
,,,,,,,booth,6,8,2.89,0
,,,,,,,sn,4,5,2.88,0
,,,,,,,ferris,3,3,2.88,0
,,,,,,,gunnery,5,7,2.88,0
,,,,,,,329th,3,3,2.88,0
,,,,,,,divsion,4,3,2.88,0
,,,,,,,details,5,10,2.88,0
,,,,,,,resources,4,5,2.88,0
,,,,,,,6,3,4,2.87,0
,,,,,,,salem,7,7,2.87,0
,,,,,,,held,9,13,2.87,0
,,,,,,,bero,3,10,2.87,0
,,,,,,,gates,6,9,2.87,0
,,,,,,,hopke,3,4,2.87,0
,,,,,,,kemp,5,7,2.87,0
,,,,,,,mcgrath,3,3,2.87,0
,,,,,,,papua,4,7,2.87,0
,,,,,,,birthday,5,8,2.86,0
,,,,,,,receipients,4,8,2.86,0
,,,,,,,haley,6,7,2.86,0
,,,,,,,hanna,3,5,2.86,0
,,,,,,,carr,6,7,2.86,0
,,,,,,,jewel,4,3,2.86,0
,,,,,,,ratings,4,7,2.86,0
,,,,,,,antique,5,29,2.86,0
,,,,,,,girl,3,3,2.85,0
,,,,,,,conn,6,10,2.85,0
,,,,,,,hermann,3,3,2.85,0
,,,,,,,gosman,2,4,2.85,0
,,,,,,,perkins,4,4,2.85,0
,,,,,,,y,5,8,2.84,0
,,,,,,,winn,5,6,2.84,0
,,,,,,,rome,7,13,2.84,0
,,,,,,,greece,5,4,2.84,0
,,,,,,,fanwood,2,2,2.84,0
,,,,,,,216,4,4,2.84,0
,,,,,,,priest,5,17,2.84,0
,,,,,,,univ,3,3,2.84,0
,,,,,,,tattoos,7,13,2.84,0
,,,,,,,justin,3,4,2.84,0
,,,,,,,barry,5,7,2.83,0
,,,,,,,ng,5,3,2.83,0
,,,,,,,nl,2,2,2.83,0
,,,,,,,holocaust,5,7,2.83,0
,,,,,,,davenport,4,5,2.83,0
,,,,,,,will,6,8,2.83,0
,,,,,,,winford,2,4,2.83,0
,,,,,,,telephone,2,2,2.83,0
,,,,,,,farragut,5,15,2.83,0
,,,,,,,needham,3,4,2.83,0
,,,,,,,buddies,2,3,2.83,0
,,,,,,,newark,6,6,2.83,0
,,,,,,,poughkeepsie,4,4,2.83,0
,,,,,,,whitmire,2,6,2.82,0
,,,,,,,wake,5,12,2.82,0
,,,,,,,mathias,5,10,2.82,0
,,,,,,,hensley,5,5,2.82,0
,,,,,,,cookbook,4,17,2.82,0
,,,,,,,ashe,4,5,2.82,0
,,,,,,,enrique,3,4,2.82,0
,,,,,,,marches,6,12,2.82,0
,,,,,,,mims,2,2,2.82,0
,,,,,,,thunderbolt,4,14,2.81,0
,,,,,,,2006,3,3,2.81,0
,,,,,,,102,4,11,2.81,0
,,,,,,,maynard,6,7,2.81,0
,,,,,,,2006,3,3,2.81,0
,,,,,,,santos,4,6,2.81,0
,,,,,,,hayward,3,4,2.81,0
,,,,,,,speakman,3,3,2.81,0
,,,,,,,triangle,5,10,2.81,0
,,,,,,,rh,4,3,2.8,0
,,,,,,,1775,8,20,2.8,0
,,,,,,,worldwar1,4,7,2.8,0
,,,,,,,former,4,4,2.8,0
,,,,,,,february,5,6,2.8,0
,,,,,,,hawks,2,2,2.79,0
,,,,,,,sixth,6,7,2.79,0
,,,,,,,ingram,4,7,2.79,0
,,,,,,,management,2,16,2.79,0
,,,,,,,percent,3,9,2.79,0
,,,,,,,mcmahon,3,3,2.79,0
,,,,,,,housing,4,7,2.79,0
,,,,,,,bray,3,2,2.79,0
,,,,,,,bonaventura,2,1,2.78,0
,,,,,,,dickerson,5,5,2.78,0
,,,,,,,danny,3,4,2.78,0
,,,,,,,mccullough,6,6,2.78,0
,,,,,,,rothnel,2,1,2.78,0
,,,,,,,fayette,6,8,2.78,0
,,,,,,,roles,5,5,2.78,0
,,,,,,,grenadier,3,6,2.78,0
,,,,,,,bucur,3,5,2.78,0
,,,,,,,90,5,6,2.77,0
,,,,,,,89,4,3,2.77,0
,,,,,,,collection,5,7,2.77,0
,,,,,,,gaffney,6,4,2.77,0
,,,,,,,90,5,6,2.77,0
,,,,,,,kirby,3,5,2.77,0
,,,,,,,sellers,6,7,2.77,0
,,,,,,,1932,2,2,2.77,0
,,,,,,,gaines,5,5,2.77,0
,,,,,,,majors,4,8,2.77,0
,,,,,,,flown,3,4,2.77,0
,,,,,,,convoys,5,7,2.76,0
,,,,,,,bird,5,14,2.76,0
,,,,,,,copart,3,13,2.76,0
,,,,,,,reserves,4,4,2.76,0
,,,,,,,koreon,5,5,2.76,0
,,,,,,,villa,4,32,2.76,0
,,,,,,,jane,7,13,2.76,0
,,,,,,,martial,3,31,2.75,0
,,,,,,,inww2,4,3,2.75,0
,,,,,,,privet,4,3,2.75,0
,,,,,,,rockland,3,3,2.75,0
,,,,,,,immaterial,3,7,2.75,0
,,,,,,,346,5,8,2.75,0
,,,,,,,ernst,5,9,2.75,0
,,,,,,,night,4,5,2.74,0
,,,,,,,markings,4,34,2.74,0
,,,,,,,marlin,4,6,2.74,0
,,,,,,,hale,7,16,2.74,0
,,,,,,,slash,2,3,2.74,0
,,,,,,,stores,3,2,2.74,0
,,,,,,,gerard,5,12,2.74,0
,,,,,,,weapon,7,16,2.74,0
,,,,,,,jocob,3,2,2.74,0
,,,,,,,embarkation,5,6,2.74,0
,,,,,,,employment,2,3,2.74,0
,,,,,,,admiralty,4,3,2.74,0
,,,,,,,ask,5,7,2.74,0
,,,,,,,technology,5,8,2.73,0
,,,,,,,yard,3,4,2.73,0
,,,,,,,aircrafts,5,8,2.73,0
,,,,,,,120,4,10,2.73,0
,,,,,,,133rd,5,6,2.73,0
,,,,,,,louie,2,2,2.73,0
,,,,,,,daigle,2,2,2.73,0
,,,,,,,miss,5,14,2.73,0
,,,,,,,apparel,3,8,2.73,0
,,,,,,,collectors,5,13,2.73,0
,,,,,,,blevins,3,5,2.72,0
,,,,,,,dubuque,5,5,2.72,0
,,,,,,,good,6,13,2.72,0
,,,,,,,pulaski,4,5,2.72,0
,,,,,,,1963,4,7,2.72,0
,,,,,,,27,8,8,2.72,0
,,,,,,,ready,4,88,2.72,0
,,,,,,,cummings,4,6,2.72,0
,,,,,,,criminal,5,7,2.72,0
,,,,,,,97th,4,12,2.72,0
,,,,,,,burch,4,6,2.71,0
,,,,,,,avery,4,4,2.71,0
,,,,,,,replica,4,10,2.71,0
,,,,,,,bloch,2,2,2.71,0
,,,,,,,nova,4,8,2.71,0
,,,,,,,elliot,3,4,2.7,0
,,,,,,,mattingly,3,3,2.7,0
,,,,,,,considine,2,1,2.7,0
,,,,,,,adkins,4,6,2.7,0
,,,,,,,117,4,9,2.7,0
,,,,,,,cass,3,5,2.7,0
,,,,,,,kerivan,3,4,2.7,0
,,,,,,,rasmussen,3,4,2.7,0
,,,,,,,benard,3,3,2.7,0
,,,,,,,hodgson,3,3,2.7,0
,,,,,,,357th,4,5,2.7,0
,,,,,,,kalamazoo,4,4,2.7,0
,,,,,,,laws,4,5,2.7,0
,,,,,,,pennsylvana,4,4,2.7,0
,,,,,,,bolt,3,16,2.69,0
,,,,,,,ly,4,5,2.69,0
,,,,,,,cruz,5,7,2.69,0
,,,,,,,compare,2,3,2.69,0
,,,,,,,goverment,6,5,2.69,0
,,,,,,,deat,2,2,2.69,0
,,,,,,,make,5,7,2.69,0
,,,,,,,soldgers,4,5,2.69,0
,,,,,,,mooney,4,6,2.69,0
,,,,,,,pugliese,3,2,2.69,0
,,,,,,,lisa,2,2,2.69,0
,,,,,,,409th,4,7,2.68,0
,,,,,,,lyndon,2,9,2.68,0
,,,,,,,jarvis,5,6,2.68,0
,,,,,,,mysteries,3,12,2.68,0
,,,,,,,cowan,3,4,2.68,0
,,,,,,,berkeley,3,3,2.68,0
,,,,,,,memphis,4,4,2.68,0
,,,,,,,garner,6,6,2.68,0
,,,,,,,vest,2,2,2.68,0
,,,,,,,quang,7,30,2.68,0
,,,,,,,ollie,4,14,2.68,0
,,,,,,,wilber,3,6,2.67,0
,,,,,,,amazon,4,7,2.67,0
,,,,,,,ballard,5,7,2.67,0
,,,,,,,whitfield,3,4,2.67,0
,,,,,,,connelly,3,3,2.67,0
,,,,,,,panthers,4,6,2.67,0
,,,,,,,inman,4,5,2.67,0
,,,,,,,eastern,4,5,2.67,0
,,,,,,,nursing,5,6,2.67,0
,,,,,,,agent,3,4,2.67,0
,,,,,,,cam,3,6,2.67,0
,,,,,,,chet,4,7,2.66,0
,,,,,,,scholarship,3,4,2.66,0
,,,,,,,mcdowell,4,6,2.66,0
,,,,,,,jackman,3,7,2.66,0
,,,,,,,gregg,4,5,2.66,0
,,,,,,,lingo,2,2,2.66,0
,,,,,,,scheele,2,3,2.66,0
,,,,,,,maintenance,4,4,2.66,0
,,,,,,,anders,3,3,2.65,0
,,,,,,,support,5,179,2.65,0
,,,,,,,anything,4,4,2.65,0
,,,,,,,international,5,29,2.65,0
,,,,,,,trainer,4,6,2.65,0
,,,,,,,jess,3,3,2.65,0
,,,,,,,told,4,6,2.65,0
,,,,,,,sharp,5,13,2.65,0
,,,,,,,jet,4,6,2.64,0
,,,,,,,hans,6,10,2.64,0
,,,,,,,souvenirs,3,3,2.64,0
,,,,,,,sight,3,3,2.64,0
,,,,,,,minsk,2,2,2.64,0
,,,,,,,kid,4,8,2.64,0
,,,,,,,luigi,3,5,2.64,0
,,,,,,,title,4,5,2.64,0
,,,,,,,tecords,2,3,2.63,0
,,,,,,,huffman,3,4,2.63,0
,,,,,,,dague,2,3,2.63,0
,,,,,,,wes,2,2,2.63,0
,,,,,,,enoch,4,6,2.62,0
,,,,,,,finnegan,4,4,2.62,0
,,,,,,,reunions,3,4,2.62,0
,,,,,,,bentick,2,2,2.62,0
,,,,,,,distroyed,3,3,2.62,0
,,,,,,,camera,5,86,2.62,0
,,,,,,,ever,6,10,2.62,0
,,,,,,,mont,4,3,2.62,0
,,,,,,,sw,4,8,2.61,0
,,,,,,,fournier,2,4,2.61,0
,,,,,,,mariners,3,6,2.61,0
,,,,,,,play,6,7,2.61,0
,,,,,,,roman,3,4,2.61,0
,,,,,,,community,3,2,2.61,0
,,,,,,,grear,3,5,2.61,0
,,,,,,,boots,4,8,2.61,0
,,,,,,,refugees,4,14,2.61,0
,,,,,,,fairfax,3,5,2.61,0
,,,,,,,scranton,6,7,2.6,0
,,,,,,,niles,3,5,2.6,0
,,,,,,,rolf,2,3,2.6,0
,,,,,,,whats,4,4,2.6,0
,,,,,,,lingwood,3,3,2.6,0
,,,,,,,munroe,3,2,2.6,0
,,,,,,,penna,5,7,2.6,0
,,,,,,,generator,4,8,2.59,0
,,,,,,,archieves,2,2,2.59,0
,,,,,,,rule,5,16,2.59,0
,,,,,,,166,3,4,2.59,0
,,,,,,,bacon,3,3,2.59,0
,,,,,,,brackett,3,4,2.59,0
,,,,,,,clara,8,69,2.59,0
,,,,,,,balls,4,7,2.59,0
,,,,,,,diehl,4,3,2.59,0
,,,,,,,moss,4,8,2.59,0
,,,,,,,militar,2,2,2.59,0
,,,,,,,315th,3,17,2.59,0
,,,,,,,hartman,3,6,2.59,0
,,,,,,,pituch,3,2,2.58,0
,,,,,,,organizations,5,5,2.58,0
,,,,,,,ashton,3,6,2.58,0
,,,,,,,1976,4,4,2.58,0
,,,,,,,muse,5,5,2.57,0
,,,,,,,hold,5,12,2.57,0
,,,,,,,come,3,4,2.57,0
,,,,,,,melville,6,5,2.57,0
,,,,,,,salute,3,3,2.57,0
,,,,,,,143,3,3,2.57,0
,,,,,,,emmitt,3,3,2.57,0
,,,,,,,surgeon,6,8,2.57,0
,,,,,,,klein,4,6,2.57,0
,,,,,,,1949,5,8,2.57,0
,,,,,,,drop,4,4,2.56,0
,,,,,,,haute,4,4,2.56,0
,,,,,,,mcclain,5,20,2.56,0
,,,,,,,terre,4,4,2.56,0
,,,,,,,bottom,4,4,2.56,0
,,,,,,,niemi,2,4,2.56,0
,,,,,,,birmingham,4,14,2.56,0
,,,,,,,headstones,5,21,2.56,0
,,,,,,,shipyards,3,4,2.56,0
,,,,,,,mack,4,17,2.56,0
,,,,,,,worn,4,6,2.56,0
,,,,,,,merle,4,8,2.56,0
,,,,,,,mill,6,14,2.56,0
,,,,,,,bonnett,2,2,2.56,0
,,,,,,,70,4,4,2.56,0
,,,,,,,whipple,3,3,2.55,0
,,,,,,,hatch,3,3,2.55,0
,,,,,,,sykes,4,4,2.55,0
,,,,,,,traffic,3,3,2.55,0
,,,,,,,desertion,5,25,2.55,0
,,,,,,,thank,4,7,2.55,0
,,,,,,,blank,4,7,2.55,0
,,,,,,,sanderson,4,7,2.55,0
,,,,,,,woodard,4,6,2.55,0
,,,,,,,amry,3,3,2.55,0
,,,,,,,charlotte,3,3,2.55,0
,,,,,,,trial,3,5,2.55,0
,,,,,,,cooke,4,5,2.55,0
,,,,,,,fuller,6,6,2.55,0
,,,,,,,cyrus,3,10,2.55,0
,,,,,,,saunders,5,12,2.55,0
,,,,,,,bombadier,3,3,2.55,0
,,,,,,,donora,3,2,2.55,0
,,,,,,,westmoreland,5,5,2.55,0
,,,,,,,worlwar,3,4,2.55,0
,,,,,,,usarmyrecords,1,1,2.55,0
,,,,,,,secrets,4,17,2.54,0
,,,,,,,holt,4,6,2.54,0
,,,,,,,charge,7,11,2.54,0
,,,,,,,ott,3,5,2.54,0
,,,,,,,wilhelm,3,4,2.54,0
,,,,,,,honeycutt,4,9,2.54,0
,,,,,,,asian,4,6,2.54,0
,,,,,,,lille,4,10,2.54,0
,,,,,,,career,5,21,2.54,0
,,,,,,,hittle,1,1,2.54,0
,,,,,,,saltville,3,3,2.54,0
,,,,,,,2c,14,19,2.53,0
,,,,,,,rowan,5,7,2.53,0
,,,,,,,386th,4,5,2.53,0
,,,,,,,garza,4,6,2.53,0
,,,,,,,doolittle,4,4,2.53,0
,,,,,,,papa,2,3,2.53,0
,,,,,,,lawton,6,6,2.53,0
,,,,,,,vietman,6,17,2.53,0
,,,,,,,robison,3,4,2.53,0
,,,,,,,guidebook,8,1209,2.53,0
,,,,,,,165th,4,6,2.53,0
,,,,,,,billings,4,11,2.53,0
,,,,,,,fate,3,3,2.53,0
,,,,,,,ao,3,4,2.52,0
,,,,,,,artifacts,5,10,2.52,0
,,,,,,,injuries,5,14,2.52,0
,,,,,,,remains,6,7,2.52,0
,,,,,,,herb,4,4,2.52,0
,,,,,,,hustin,2,1,2.52,0
,,,,,,,jitomir,4,3,2.52,0
,,,,,,,jensen,3,7,2.52,0
,,,,,,,riddle,3,2,2.52,0
,,,,,,,honorees,3,4,2.52,0
,,,,,,,sample,4,25,2.52,0
,,,,,,,reghist,4,7,2.52,0
,,,,,,,meeting,3,4,2.52,0
,,,,,,,manahawkin,2,3,2.52,0
,,,,,,,dragoon,3,4,2.52,0
,,,,,,,pass,5,7,2.52,0
,,,,,,,ranking,3,3,2.51,0
,,,,,,,elwood,4,4,2.51,0
,,,,,,,pensylvania,3,3,2.51,0
,,,,,,,aurthur,2,2,2.51,0
,,,,,,,duffy,6,11,2.51,0
,,,,,,,congressional,5,6,2.51,0
,,,,,,,bullock,4,4,2.51,0
,,,,,,,billington,3,3,2.51,0
,,,,,,,dental,3,2,2.51,0
,,,,,,,hatfield,5,5,2.51,0
,,,,,,,since,4,10,2.51,0
,,,,,,,bergdahl,4,4,2.51,0
,,,,,,,chaplain,6,11,2.51,0
,,,,,,,strong,6,24,2.51,0
,,,,,,,halsey,5,5,2.51,0
,,,,,,,brovick,2,1,2.5,0
,,,,,,,faces,4,15,2.5,0
,,,,,,,jennings,5,5,2.5,0
,,,,,,,chesley,2,2,2.5,0
,,,,,,,2010,4,5,2.5,0
,,,,,,,141,3,8,2.5,0
,,,,,,,genn,2,2,2.5,0
,,,,,,,ames,3,4,2.5,0
,,,,,,,chickamauga,6,10,2.5,0
,,,,,,,galen,4,5,2.5,0
,,,,,,,roberson,3,3,2.5,0
,,,,,,,pettijohn,2,2,2.5,0
,,,,,,,88,6,8,2.49,0
,,,,,,,going,3,4,2.49,0
,,,,,,,maxwell,7,6,2.49,0
,,,,,,,rust,2,2,2.49,0
,,,,,,,hessian,5,9,2.49,0
,,,,,,,genesee,3,3,2.49,0
,,,,,,,atkinson,3,5,2.49,0
,,,,,,,goff,3,5,2.49,0
,,,,,,,78,5,7,2.48,0
,,,,,,,brand,2,1,2.48,0
,,,,,,,vela,4,4,2.48,0
,,,,,,,experience,4,9,2.48,0
,,,,,,,airsoft,3,93,2.48,0
,,,,,,,wellington,3,8,2.48,0
,,,,,,,everyone,4,5,2.48,0
,,,,,,,pate,3,2,2.48,0
,,,,,,,144th,2,4,2.48,0
,,,,,,,veterian,3,3,2.48,0
,,,,,,,xbox,3,22,2.48,0
,,,,,,,beaches,3,8,2.48,0
,,,,,,,sheldon,4,7,2.48,0
,,,,,,,paine,5,10,2.48,0
,,,,,,,target,3,7,2.47,0
,,,,,,,jg,4,3,2.47,0
,,,,,,,458th,2,4,2.47,0
,,,,,,,louisa,4,4,2.47,0
,,,,,,,21st,7,11,2.47,0
,,,,,,,kaye,2,3,2.47,0
,,,,,,,esposito,3,3,2.47,0
,,,,,,,augustine,4,14,2.47,0
,,,,,,,vitnam,5,24,2.47,0
,,,,,,,whitlock,3,2,2.47,0
,,,,,,,heston,2,2,2.47,0
,,,,,,,belonged,3,9,2.47,0
,,,,,,,veternas,2,2,2.47,0
,,,,,,,elmore,3,6,2.46,0
,,,,,,,assault,4,6,2.46,0
,,,,,,,gus,4,9,2.46,0
,,,,,,,tucson,3,2,2.46,0
,,,,,,,jm,4,6,2.46,0
,,,,,,,sholders,2,1,2.46,0
,,,,,,,mustard,5,21,2.46,0
,,,,,,,rescue,4,7,2.46,0
,,,,,,,levis,3,3,2.46,0
,,,,,,,fireman,2,2,2.46,0
,,,,,,,symank,3,4,2.46,0
,,,,,,,sources,3,5,2.46,0
,,,,,,,byrd,3,3,2.46,0
,,,,,,,release,3,4,2.46,0
,,,,,,,internment,4,11,2.46,0
,,,,,,,317th,3,8,2.46,0
,,,,,,,noah,6,6,2.46,0
,,,,,,,war's,3,123,2.45,0
,,,,,,,81,4,4,2.45,0
,,,,,,,olsen,4,5,2.45,0
,,,,,,,bingham,4,4,2.45,0
,,,,,,,munitions,3,3,2.45,0
,,,,,,,bonnie,3,3,2.45,0
,,,,,,,1848,4,4,2.45,0
,,,,,,,81,4,4,2.45,0
,,,,,,,217,3,2,2.45,0
,,,,,,,foxworthy,2,2,2.45,0
,,,,,,,link,4,4,2.45,0
,,,,,,,infatry,5,6,2.45,0
,,,,,,,acquire,1,1,2.45,0
,,,,,,,willoughby,3,3,2.45,0
,,,,,,,cambridge,3,4,2.45,0
,,,,,,,bowers,6,10,2.45,0
,,,,,,,job,4,8,2.44,0
,,,,,,,linkin,7,7,2.44,0
,,,,,,,howitzer,5,7,2.44,0
,,,,,,,duck,3,6,2.44,0
,,,,,,,repair,4,6,2.44,0
,,,,,,,blankenbeckler,2,1,2.44,0
,,,,,,,manley,3,3,2.44,0
,,,,,,,poe,4,5,2.44,0
,,,,,,,mariana,3,11,2.44,0
,,,,,,,kills,3,4,2.44,0
,,,,,,,civl,6,8,2.44,0
,,,,,,,enemies,6,32,2.44,0
,,,,,,,memoriel,5,8,2.44,0
,,,,,,,lauderdale,3,3,2.44,0
,,,,,,,roach,3,3,2.44,0
,,,,,,,montel,2,7,2.44,0
,,,,,,,tim,3,4,2.44,0
,,,,,,,gattis,2,2,2.44,0
,,,,,,,darling,2,3,2.44,0
,,,,,,,thunderbird,4,8,2.44,0
,,,,,,,hyow,1,1,2.44,0
,,,,,,,cemetaries,6,8,2.44,0
,,,,,,,familt,1,2,2.44,0
,,,,,,,1948,2,2,2.44,0
,,,,,,,1959,3,12,2.44,0
,,,,,,,wedding,4,4,2.43,0
,,,,,,,gertman,2,5,2.43,0
,,,,,,,mixhael,2,5,2.43,0
,,,,,,,baldwin,7,5,2.43,0
,,,,,,,thru,5,7,2.43,0
,,,,,,,submission,1,1,2.43,0
,,,,,,,carlton,4,6,2.43,0
,,,,,,,kriegsmarine,3,10,2.43,0
,,,,,,,dotson,3,3,2.43,0
,,,,,,,bradford,4,4,2.43,0
,,,,,,,carpenter,6,8,2.43,0
,,,,,,,lieutenants,4,5,2.43,0
,,,,,,,135th,5,10,2.43,0
,,,,,,,spring,3,252,2.43,0
,,,,,,,edson,3,6,2.43,0
,,,,,,,sexton,4,7,2.43,0
,,,,,,,rosser,4,4,2.43,0
,,,,,,,rare,6,36,2.43,0
,,,,,,,dieppe,3,3,2.43,0
,,,,,,,lightning,5,4,2.42,0
,,,,,,,inlisted,3,3,2.42,0
,,,,,,,swift,4,5,2.42,0
,,,,,,,foggia,3,8,2.42,0
,,,,,,,biller,2,1,2.42,0
,,,,,,,plates,4,4,2.42,0
,,,,,,,netherlands,3,6,2.42,0
,,,,,,,oil,4,4,2.42,0
,,,,,,,radford,4,6,2.42,0
,,,,,,,daggers,3,17,2.42,0
,,,,,,,embrey,3,4,2.42,0
,,,,,,,flathead,1,1,2.42,0
,,,,,,,trust,5,74,2.42,0
,,,,,,,alphabetical,5,28,2.42,0
,,,,,,,telegram,5,6,2.42,0
,,,,,,,assignments,3,4,2.42,0
,,,,,,,ary,2,3,2.42,0
,,,,,,,forms,2,2,2.42,0
,,,,,,,holbrook,3,3,2.42,0
,,,,,,,happening,6,7,2.42,0
,,,,,,,elizabeth,4,6,2.42,0
,,,,,,,archival,3,5,2.42,0
,,,,,,,leave,2,2,2.42,0
,,,,,,,macon,5,8,2.42,0
,,,,,,,altoona,2,2,2.41,0
,,,,,,,mercury,3,3,2.41,0
,,,,,,,eddy,3,4,2.41,0
,,,,,,,noonan,2,2,2.41,0
,,,,,,,iceland,4,48,2.41,0
,,,,,,,montigny,2,2,2.41,0
,,,,,,,conscription,4,3,2.41,0
,,,,,,,wesson,4,19,2.41,0
,,,,,,,aviators,4,6,2.4,0
,,,,,,,bean,3,4,2.4,0
,,,,,,,evacuation,5,6,2.4,0
,,,,,,,turpen,2,2,2.4,0
,,,,,,,woodhouse,2,4,2.4,0
,,,,,,,keystone,3,2,2.4,0
,,,,,,,conferderate,5,4,2.39,0
,,,,,,,percy,4,6,2.39,0
,,,,,,,hesse,3,3,2.39,0
,,,,,,,joeseph,4,3,2.39,0
,,,,,,,gavin,4,8,2.39,0
